"RegionID","RegionName","State","Metro","CountyName","SizeRank"
51405,"Chula Vista","CA","San Diego-Carlsbad","San Diego County",93
26922,"Saint Petersburg","FL","Tampa-St. Petersburg-Clearwater","Pinellas County",94
53856,"Pensacola","FL","Pensacola-Ferry Pass-Brent","Escambia County",95
5573,"Lawrenceville","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",96
398849,"Madison","WI","Madison","Dane County",97
41760,"Winston-Salem","NC","Winston-Salem","Forsyth County",98
6210,"Norfolk","VA","Virginia Beach-Norfolk-Newport News","Norfolk City",99
18298,"Glendale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",100
54346,"Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",101
52001,"Fayetteville","NC","Fayetteville","Cumberland County",102
3737,"Boise","ID","Boise City","Ada County",103
52650,"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",104
52893,"Laredo","TX","Laredo","Webb County",105
20362,"Sarasota","FL","North Port-Sarasota-Bradenton","Sarasota County",106
44564,"Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",107
31614,"Fort Myers","FL","Cape Coral-Fort Myers","Lee County",108
18251,"Garland","TX","Dallas-Fort Worth-Arlington","Dallas County",109
7204,"Spring","TX","Houston-The Woodlands-Sugar Land","Harris County",110
4888,"Gilbert","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",111
26187,"North Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",112
11540,"Fremont","CA","San Francisco-Oakland-Hayward","Alameda County",113
54311,"Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",114
24741,"Fontana","CA","Riverside-San Bernardino-Ontario","San Bernardino County",115
12065,"Irving","TX","Dallas-Fort Worth-Arlington","Dallas County",116
30258,"Arlington","VA","Washington-Arlington-Alexandria","Arlington County",117
7222,"Springfield","MO","Springfield","Greene County",118
24960,"Greenville","SC","Greenville-Anderson-Mauldin","Greenville County",119
26967,"Santa Rosa","CA","Santa Rosa","Sonoma County",120
13150,"Oxnard","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",121
6752,"Richmond","VA","Richmond","Richmond City",122
17759,"Des Moines","IA","Des Moines-West Des Moines","Polk County",123
53673,"Ocala","FL","Ocala","Marion County",124
10477,"Boca Raton","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",125
40897,"Shreveport","LA","Shreveport-Bossier City","Caddo Parish",126
14701,"Woodbridge","VA","Washington-Arlington-Alexandria","Prince William County",127
32931,"Montgomery","AL","Montgomery","Montgomery County",128
44282,"Bradenton","FL","North Port-Sarasota-Bradenton","Manatee County",129
24225,"Corona","CA","Riverside-San Bernardino-Ontario","Riverside County",130
6285,"Oceanside","CA","San Diego-Carlsbad","San Diego County",131
27362,"Tacoma","WA","Seattle-Tacoma-Bellevue","Pierce County",132
11671,"Grand Rapids","MI","Grand Rapids-Wyoming","Kent County",133
24821,"Gainesville","FL","Gainesville","Alachua County",134
34937,"Yonkers","NY","New York-Newark-Jersey City","Westchester County",135
45457,"Glendale","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",136
25981,"Moreno Valley","CA","Riverside-San Bernardino-Ontario","Riverside County",137
30141,"Akron","OH","Akron","Summit County",138
10215,"Aurora","IL","Chicago-Naperville-Elgin","Kane County",139
21320,"Wilmington","NC","Wilmington","New Hanover County",140
25218,"Huntington Beach","CA","Los Angeles-Long Beach-Anaheim","Orange County",141
12014,"Huntsville","AL","Huntsville","Madison County",142
16753,"Amarillo","TX","Amarillo","Potter County",143
38438,"Eugene","OR","Eugene","Lane County",144
6909,"Salt Lake City","UT","Salt Lake City","Salt Lake County",145
33501,"Port Saint Lucie","FL","Port St. Lucie","Saint Lucie County",146
54288,"Salinas","CA","Salinas","Monterey County",147
52998,"Little Rock","AR","Little Rock-North Little Rock-Conway","Pulaski County",148
4764,"Fort Collins","CO","Fort Collins","Larimer County",149
18518,"Hayward","CA","San Francisco-Oakland-Hayward","Alameda County",150
51167,"Brownsville","TX","Brownsville-Harlingen","Cameron County",151
47426,"Rockford","IL","Rockford","Winnebago County",152
31471,"Evansville","IN","Evansville","Vanderburgh County",153
14724,"Worcester","MA","Worcester","Worcester County",154
40202,"Overland Park","KS","Kansas City","Johnson County",155
5534,"Lancaster","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",156
20317,"Salem","OR","Salem","Marion County",157
24832,"Garden Grove","CA","Los Angeles-Long Beach-Anaheim","Orange County",158
31821,"Grand Prairie","TX","Dallas-Fort Worth-Arlington","Dallas County",159
30381,"Beaverton","OR","Portland-Vancouver-Hillsboro","Washington County",160
11337,"Escondido","CA","San Diego-Carlsbad","San Diego County",161
26637,"Providence","RI","Providence-Warwick","Providence County",162
31606,"Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",163
13108,"Ontario","CA","Riverside-San Bernardino-Ontario","San Bernardino County",164
17539,"Columbus","GA","Columbus","Muscogee County",165
7087,"Sioux Falls","SD","Sioux Falls","Minnehaha County",166
4054,"Charleston","SC","Charleston-North Charleston","Charleston County",167
18847,"Kissimmee","FL","Orlando-Kissimmee-Sanford","Osceola County",168
37837,"Chattanooga","TN","Chattanooga","Hamilton County",169
47958,"Tempe","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",170
19523,"Murfreesboro","TN","Nashville-Davidson--Murfreesboro--Franklin","Rutherford County",171
40492,"Rancho Cucamonga","CA","Riverside-San Bernardino-Ontario","San Bernardino County",172
30742,"Cape Coral","FL","Cape Coral-Fort Myers","Lee County",173
47584,"Savannah","GA","Savannah","Chatham County",174
11529,"Fredericksburg","VA","Washington-Arlington-Alexandria","Spotsylvania County",175
5424,"Killeen","TX","Killeen-Temple","Bell County",176
40227,"Palmdale","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",177
6792,"Roanoke","VA","Roanoke","Roanoke City",178
26140,"Newport News","VA","Virginia Beach-Norfolk-Newport News","Newport News City",179
38333,"El Cajon","CA","San Diego-Carlsbad","San Diego County",180
10843,"Clarksville","TN","Clarksville","Montgomery County",181
17950,"Elk Grove","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",182
40298,"Peoria","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",183
41114,"Sugar Land","TX","Houston-The Woodlands-Sugar Land","Fort Bend County",184
39931,"Naperville","IL","Chicago-Naperville-Elgin","DuPage County",185
4655,"Fairfax","VA","Washington-Arlington-Alexandria","Fairfax County",186
30559,"Boynton Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",187
41256,"Topeka","KS","Topeka","Shawnee County",188
32783,"McKinney","TX","Dallas-Fort Worth-Arlington","Collin County",189
19892,"Pembroke Pines","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",190
38328,"Edmond","OK","Oklahoma City","Oklahoma County",191
25483,"Lakeland","FL","Lakeland-Winter Haven","Polk County",192
47250,"Pueblo","CO","Pueblo","Pueblo County",193
7221,"Springfield","MA","Springfield","Hampden County",194
6286,"Odessa","TX","Odessa","Ector County",195
182023,"Henrico","VA","Richmond","Henrico County",196
31184,"Dayton","OH","Dayton","Montgomery County",197
19360,"Midland","TX","Midland","Midland County",198
5519,"Lakewood","CO","Denver-Aurora-Lakewood","Jefferson County",199
44821,"Cumming","GA","Atlanta-Sandy Springs-Roswell","Forsyth County",200
41324,"Tyler","TX","Tyler","Smith County",201
20008,"Pomona","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",202
21114,"Visalia","CA","Visalia-Porterville","Tulare County",203
38119,"Cypress","TX","Houston-The Woodlands-Sugar Land","Harris County",204
26857,"Round Rock","TX","Austin-Round Rock","Williamson County",205
8097,"Ann Arbor","MI","Ann Arbor","Washtenaw County",206
14634,"Whittier","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",207
39191,"Kansas City","KS","Kansas City","Wyandotte County",208
54626,"Sunnyvale","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",209
32060,"Hollywood","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",210
25514,"Las Cruces","NM","Las Cruces","Dona Ana County",211
4521,"Edinburg","TX","McAllen-Edinburg-Mission","Hidalgo County",212
44734,"Conroe","TX","Houston-The Woodlands-Sugar Land","Montgomery County",213
398300,"Lansing","MI","Lansing-East Lansing","Ingham County",214
51297,"Cary","NC","Raleigh","Wake County",215
19873,"Paterson","NJ","New York-Newark-Jersey City","Passaic County",216
19865,"Pasadena","TX","Houston-The Woodlands-Sugar Land","Harris County",217
35282,"Beaumont","TX","Beaumont-Port Arthur","Jefferson County",218
28065,"Yuma","AZ","Yuma","Yuma County",219
18208,"Frisco","TX","Dallas-Fort Worth-Arlington","Collin County",220
10918,"Columbia","MO","Columbia","Boone County",221
7353,"Syracuse","NY","Syracuse","Onondaga County",222
47019,"Pasadena","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",223
3806,"Bridgeport","CT","Bridgeport-Stamford-Norwalk","Fairfield County",224
32626,"Macon","GA","Macon-Bibb County","Bibb County",225
51260,"Canton","OH","Canton-Massillon","Stark County",226
6183,"Newark","DE","Philadelphia-Camden-Wilmington","New Castle County",227
12694,"Mesquite","TX","Dallas-Fort Worth-Arlington","Dallas County",228
13480,"Renton","WA","Seattle-Tacoma-Bellevue","King County",229
47570,"Santa Maria","CA","Santa Maria-Santa Barbara","Santa Barbara County",230
54722,"Torrance","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",231
51447,"Clearwater","FL","Tampa-St. Petersburg-Clearwater","Pinellas County",232
24812,"Fullerton","CA","Los Angeles-Long Beach-Anaheim","Orange County",233
25818,"McAllen","TX","McAllen-Edinburg-Mission","Hidalgo County",234
33252,"Orange","CA","Los Angeles-Long Beach-Anaheim","Orange County",235
24174,"Compton","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",236
5052,"Hampton","VA","Virginia Beach-Norfolk-Newport News","Hampton City",237
3619,"Bellevue","WA","Seattle-Tacoma-Bellevue","King County",238
45888,"Inglewood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",239
5399,"Kent","WA","Seattle-Tacoma-Bellevue","King County",240
48443,"West Valley City","UT","Salt Lake City","Salt Lake County",241
33230,"Olathe","KS","Kansas City","Johnson County",242
21159,"Warren","MI","Detroit-Warren-Dearborn","Macomb County",243
39815,"Miramar","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",244
20793,"Thornton","CO","Denver-Aurora-Lakewood","Adams County",245
23394,"Abilene","TX","Abilene","Taylor County",246
37427,"Billings","MT","Billings","Yellowstone County",247
51518,"Concord","CA","San Francisco-Oakland-Hayward","Contra Costa County",248
44506,"Cedar Rapids","IA","Cedar Rapids","Linn County",249
17070,"Bloomington","IN","Bloomington","Monroe County",250
30543,"Boulder","CO","Boulder","Boulder County",251
47847,"Sterling Heights","MI","Detroit-Warren-Dearborn","Macomb County",252
54263,"Saginaw","MI","Saginaw","Saginaw County",253
395433,"Ramapo","NY","New York-Newark-Jersey City","Rockland County",254
17321,"Carrollton","TX","Dallas-Fort Worth-Arlington","Denton County",255
17571,"Coral Springs","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",256
